Region ,State,Population ,Civilian Labor Force,Employed,Unemployed,Unemployment Rate,GDP (billions)
North-East,Connecticut,2884.0,1914.0,1842.0,71.0,3.7,386.0
North-East,Maine,1110.0,693.0,672.0,21.0,3.0,68.0
North-East,Massachusetts,5635.0,3817.0,3707.0,111.0,2.9,596.0
North-East,New Hampshire,1121.0,774.0,754.0,20.0,2.5,89.0
North-East,Rhode Island,864.0,556.0,536.0,20.0,3.6,64.0
North-East,Vermont,518.0,342.0,334.0,8.0,2.4,35.0
Middle Atlantic,New Jersey,7071.0,4493.0,4333.0,16.0,3.6,645.0
Middle Atlantic,New York,15656.0,9514.0,9138.0,377.0,4.0,1732.0
Middle Atlantic,Pennsylania ,10277.0,6492.0,6208.0,284.0,4.4,814.0
Midwest,Illinois,10001.0,6447.0,6191.0,256.0,4.0,897.0
Midwest,Indiana,5246.0,3387.0,3275.0,112.0,3.3,377.0
Midwest,Michigan,7993.0,4937.0,4736.0,203.0,4.1,542.0
Midwest,Ohio,9239.0,5802.0,5564.0,239.0,4.1,699.0
Midwest,Wisconsin,4633.0,3105.0,3001.0,104.0,3.3,347.0
West North Central,Iowa,2468.0,1739.0,1691.0,48.0,2.7,195.0
West North Central,Kansas,2229.0,1487.0,1440.0,49.0,3.2,173.0
West North Central,Minnestoa,4424.0,3110.0,3009.0,100.0,3.2,381.0
West North Central,Missouri,4811.0,3083.0,2982.0,102.0,3.3,332.0
West North Central,Nebraska,1481.0,1035.0,1004.0,32.0,3.0,127.0
West North Central,North Dakota,582.0,404.0,394.0,10.0,2.4,557.0
West North Central,South Dakota,672.0,464.0,449.0,15.0,3.3,53.0
South,Delaware,778.0,487.0,469.0,18.0,3.8,75.0
South,District of Columbia,577.0,410.0,387.0,22.0,5.5,146.0
South,Florida,17410.0,10337.0,10016.0,321.0,3.1,1093.0
South,Georgia,8196.0,5110.0,4935.0,175.0,3.4,616.0
South,Maryland,4761.0,3261.0,3144.0,117.0,3.6,428.0
South,North Carolina,8243.0,5080.0,4884.0,197.0,3.9,588.0
South,South Carolina,4063.0,2376.0,2308.0,68.0,2.8,246.0
South,Virginia,6672.0,4412.0,4289.0,123.0,2.8,554.0
South,West Virgina,1447.0,797.0,758.0,39.0,4.9,78.0
East South Central,Alabama,3862.0,2242.0,2174.0,67.0,3.0,231.0
East South Central,Kentucky,3494.0,2073.0,1984.0,89.0,4.3,215.0
East South Central,Mississippi,2287.0,1276.0,1207.0,69.0,5.4,118.0
East South Central,Tennessee,5379.0,3345.0,3232.0,113.0,3.4,380.0
West South Central,Arkansas,2343.0,1363.0,1314.0,48.0,3.5,133.0
West South Central,Louisiana,3577.0,2095.0,1994.0,101.0,4.8,264.0
West South Central,Oklahoma,3029.0,1841.0,1781.0,61.0,3.3,206.0
West South Central,Texas,21934.0,14045.0,13552.0,494.0,3.5,1887.0
West,Arizona,5713.0,3551.0,3385.0,167.0,4.7,366.0
West,Colorado,4545.0,3149.0,3062.0,87.0,2.8,390.0
West,Idaho,1368.0,882.0,856.0,26.0,2.9,81.0
West,Montana,850.0,533.0,515.0,19.0,3.5,52.0
West,Nevada,2424.0,1542.0,1482.0,60.0,3.9,178.0
West,New Mexico,1640.0,955.0,908.0,46.0,4.9,104.0
West,Utah,2351.0,1608.0,1566.0,42.0,2.6,189.0
West,Wyoming,450.0,292.0,282.0,11.0,3.6,40.0
Pacific,Alaska,545.0,348.0,326.0,21.0,6.1,55.0
Pacific,California,31107.0,19412.0,18627.0,784.0,4.0,3137.0
Pacific,Hawaii,1091.0,665.0,647.0,18.0,2.7,97.0
Pacific,Oregon,3409.0,2104.0,2025.0,79.0,3.7,252.0
Pacific,Washington,6020.0,3914.0,3748.0,166.0,4.3,600.0
